"filename", "language", "JavaScript JSX", "Markdown", "JavaScript", "TypeScript JSX", "PostCSS", "JSON", "XML", "HTML", "MS SQL", "comment", "blank", "total"
"/Users/dragos/Code/Personal/cnb-cards/server/src/routes/auth.js", "JavaScript", 0, 0, 137, 0, 0, 0, 0, 0, 0, 11, 36, 184
"/Users/dragos/Code/Personal/cnb-cards/server/src/routes/checkout.js", "JavaScript", 0, 0, 164, 0, 0, 0, 0, 0, 0, 12, 28, 204
"/Users/dragos/Code/Personal/cnb-cards/server/src/routes/contact.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 2, 8, 45
"/Users/dragos/Code/Personal/cnb-cards/server/src/routes/orders.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 1, 8, 52
"/Users/dragos/Code/Personal/cnb-cards/server/src/routes/products.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 2, 11, 47
"/Users/dragos/Code/Personal/cnb-cards/server/src/services/emailTemplates.js", "JavaScript", 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 6, 129
"/Users/dragos/Code/Personal/cnb-cards/server/src/services/emails/README.md", "Markdown", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 24, 168
"/Users/dragos/Code/Personal/cnb-cards/server/src/services/emails/base.js", "JavaScript", 0, 0, 217, 0, 0, 0, 0, 0, 0, 25, 18, 260
"/Users/dragos/Code/Personal/cnb-cards/server/src/services/emails/contactConfirmation.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 9, 8, 59
"/Users/dragos/Code/Personal/cnb-cards/server/src/services/emails/index.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 13, 3, 30
"/Users/dragos/Code/Personal/cnb-cards/server/src/services/emails/newProduct.js", "JavaScript", 0, 0, 71, 0, 0, 0, 0, 0, 0, 14, 20, 105
"/Users/dragos/Code/Personal/cnb-cards/server/src/services/emails/orderReceipt.js", "JavaScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 14, 13, 93
"/Users/dragos/Code/Personal/cnb-cards/server/src/services/emails/orderShipped.js", "JavaScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 10, 11, 82
"/Users/dragos/Code/Personal/cnb-cards/server/src/services/emails/passwordReset.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 7, 7, 64
"/Users/dragos/Code/Personal/cnb-cards/server/src/services/emails/welcome.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 6, 3, 51
"/Users/dragos/Code/Personal/cnb-cards/server/src/services/mailer.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"Total", "-", 2958, 371, 1801, 255, 14, 5565, 25, 66, 73, 249, 717, 12094
